variable,n_present,n_missing,pct_missing
Gender,61364,8163,11.74076258144318
Age,40068,29459,42.370589842794885
Education,47146,22381,32.190372085664556
Employment,51381,18146,26.099213255282123
Prior record,61329,8198,11.791102737066176
Crime category,67718,1809,2.601866900628533
Sentence type,69527,0,0.0
Severity score,60121,9406,13.528557251139844
Sentence months,14849,54678,78.64282940440404
Fine amount,43425,26102,37.5422497734693
