block,r_squared,delta_r_squared
Demographics only,0.03913904098108212,0.03913904098108212
+ Crime + prior criminal,0.07204950304973368,0.03291046206865156
+ Year/Court FE (= Model 1),0.08024717568490092,0.008197672635167241
