variable,coefficient,se,z,p,odds_ratio,or_ci_low,or_ci_high
female,-0.5381890914352148,0.054338769416709364,-9.904329766984375,3.9863387101534916e-23,0.5838045122817268,0.5248246236143074,0.6494125717907979
education_level,-0.14663134141969175,0.015648145556466,-9.370525145652287,7.217253229160746e-21,0.863612296820407,0.8375275308762041,0.8905094718965842
employed,-0.9227991729512284,0.03422174605058379,-26.96528609578313,3.775661105021086e-160,0.3974050771803353,0.3716240467702493,0.42497463966950044
prior_criminal,1.0508136592272266,0.03427569126819093,30.65769413678957,2.0869175363094906e-206,2.859977218461766,2.674157931415485,3.058708535509248
