variable,group1,group2,mean1,mean2,test,statistic,p_value,effect_size,effect_type
Female (H1),Male,Female,9.625519977144268,8.46305444597858,t-test,3.415825496729555,0.000636757339089116,0.058702387850890866,Cohen's d
Education (H2),All levels,,,,ANOVA,30.07580704637502,1.3352163250519673e-30,0.0051365312305495636,eta²
Age non-linear (H3),Linear,Quadratic,,,Quadratic F,0.2774746367696277,0.5983652376998454,0.048690250865763965,Pearson r
Employed (H4),Employed,Unemployed,6.676376745429581,14.351882634866731,t-test,-32.3904223582631,3.8694523538183264e-226,-0.39443815293649465,Cohen's d
Prior criminal,With,Without,14.004061268757313,6.969497788291886,t-test,29.442712354017978,8.835010181141065e-188,0.3604073412918733,Cohen's d
Crime category,5 categories,,,,ANOVA,187.69967361177834,3.9498048342379383e-159,0.02512898296575818,eta²
